clean_text,gold_label,pred_label,pred_label_text,raw_output
fuck,0,0,Negative,"{""label"": ""Negative""}"
why but why we buy cards convinced that sli nvidia is the top and you and then that s no good no new games support sli wow what a disappointment doom eternal no sorry call of duty modern warfare no sorry good job,1,0,Negative,"{""label"": ""Negative""}"
to ea from me your game is horrible the franchise mode is horrible mut is just a way for children to gamble with there mom s credit card face of the franchise is cheese and horrible and to this point i d rather play a fan game than madden nfl please drop ea,0,0,Negative,"{""label"": ""Negative""}"
congratulations to on publication day hope you have a fabulous day and that your book flies,3,2,Positive,"{""label"": ""Positive""}"
how many of you have bought the season battle pass for modern war zone personally it s fucking sicko mode pic twitter com rzr hadwv,3,2,Positive,"{""label"": ""Positive""}"
a bigram poem inspired by wileyed amazon personalize personalize can can now now use use x x more more item ed wiley,1,1,Neutral,"{""label"": ""Neutral""}"
all these memes of man beggin there girls for ps s are so pathetic,1,0,Negative,"{""label"": ""Negative""}"
verizon has joined a growing advertising boycott of facebook over the social network s handling of hate speech and decision to allow several contentious posts from donald trump to remain on its platform ft com content e,1,0,Negative,"{""label"": ""Negative""}"
youre doing gods work,2,2,Positive,"{""label"": ""Positive""}"
new video flying is dangerous battlefield random funny moments so much flying so much randomness to many laughs hope you all enjoy link youtube com watch v dembil,3,2,Positive,"{""label"": ""Positive""}"
want awesome hosting for etc visit link zap hosting com smithtainment and use coupon code guushi at checkout for off,1,2,Positive,"{""label"": ""Positive""}"
a bit late but i finally got master tier on my best hero redd it j otzm,2,2,Positive,"{""label"": ""Positive""}"
as much as i don t like the amazon business model nobody going to tell me to wear an ineffective cloth mask so target just lost all my business to amazon this lunacy is out of control,2,0,Negative,"{""label"": ""Negative""}"
glad you re changing up the game to make it how it should have been on release spotted a typo on uplay though pic twitter com qw dwvbegz,1,2,Positive,"{""label"": ""Positive""}"
oooooh shit i think my motherboard is already compatible,2,2,Positive,"{""label"": ""Positive""}"
fuck buying one for my man i m gonna buy one for myself,2,2,Positive,"{""label"": ""Positive""}"
but the new nvidia series gpus are also looking appealing a has better performance than the for half the price that s crazy i m struggling between saving up for a or saving up for a ps pm sep t,1,2,Positive,"{""label"": ""Positive""}"
so good i had to share check out all the items i m loving on from posh mk zpktuisf,1,2,Positive,"{""label"": ""Positive""}"
first game of the day eventhough my damage is embarrassing pic twitter com yxta wmctn,1,2,Positive,"{""label"": ""Positive""}"
gbit is seriously threatening nvidia super review,0,0,Negative,"{""label"": ""Negative""}"
after playing today i m gonna just say it worlds edge is a better map than king s canyon,2,1,Neutral,"{""label"": ""Neutral""}"
i will say that playing a hearthstone ptq last weekend made me appreciate magic organized play from the pt level down even with its consistent disappointments above that,1,1,Neutral,"{""label"": ""Neutral""}"
making crappy til treasure day redd it itorke,1,0,Negative,"{""label"": ""Negative""}"
this is how much i enjoy and i love the lore of both titles instagram com p b feinlnn u,2,2,Positive,"{""label"": ""Positive""}"
kings,1,3,Irrelevant,"{""label"": ""Irrelevant""}"
hey guys i just hit legend on eu with an incredible winrate of which seems strange to me but i take it d got a lot of rewards and the new ranks look kinda cool so overall pretty happy with the changes till now pic twitter com x nqitoklo,2,2,Positive,"{""label"": ""Positive""}"
